epoch,loss,lr
0,16.582801818847656,0.001
1,10.471026420593262,0.001
2,8.846009254455566,0.001
3,8.01551342010498,0.001
4,7.085493564605713,0.0005
5,6.771768093109131,0.0005
6,6.556095123291016,0.0005
7,6.334744930267334,0.0005
8,6.18076753616333,0.0005
9,5.6526265144348145,0.00025
10,5.52582311630249,0.00025
11,5.3962602615356445,0.00025
12,5.2760844230651855,0.00025
13,5.145411968231201,0.00025
14,4.76464319229126,0.000125
15,4.700357437133789,0.000125
16,4.550665855407715,0.000125
17,4.500441551208496,0.000125
18,4.478853702545166,0.000125
19,4.224261283874512,6.25e-05
